node_id,xcoord,ycoord,zcoord
0,414271.1,4434309.199999999,1515
1,415021.508567,4416409.49428,1468
2,414242.218203,4434313.460220001,1516
3,413561.942815,4422759.968269999,1586
4,414180.034249,4427426.96264,1564
5,432756.6,4424622.000000001,1536
6,433677.3,4424223.500000001,1562
7,433818.3,4424441.100000001,1557
8,432941.4,4424983.7,1529
9,428689.0,4428938.300000001,1392
10,430434.4,4426464.499999999,1470
11,434873.56,4430984.089999999,1411
12,422852.0,4422423.7,1391
13,432337.5,4424495.2,1535
14,432590.9,4425895.9,1504
15,434476.4,4426705.6,1467
16,433128.8,4426270.2,1493
17,434350.8,4424773.1,1560
18,432409.8,4425351.100000001,1516
19,432926.9,4423787.100000001,1560
20,432049.1,4425308.8,1514
21,432228.8,4426138.7,1497
22,434474.3,4425583.8,1527
23,432356.1,4426481.9,1489
24,432144.6,4426365.6,1491
25,433224.3,4426511.100000001,1487
26,432581.1,4425169.9,1522
27,432058.0,4426260.300000001,1492
28,432448.1,4424625.3,1533
29,433946.1,4424528.1,1555
30,428240.6,4426113.100000001,1414
31,433922.6,4425069.1,1530
32,432062.0,4425821.699999999,1500
33,434457.6,4424885.9,1561
34,433664.8,4425884.4,1496
35,432968.8,4426271.3,1494
36,433659.8,4424797.0,1538
37,433126.8,4425524.300000001,1514
38,435949.3,4431836.5,1410
39,433131.8,4425889.6,1503
40,432525.4,4426533.4,1489
41,433303.8,4425521.8,1510
42,432947.3,4425344.8,1519
43,423341.0,4422911.3,1384
44,432578.5,4424989.0,1526
45,434178.1,4425093.0,1538
46,433485.9,4425519.2,1507
47,434672.8,4424580.8,1595
48,422736.4,4422423.4,1392
49,427882.1,4425601.699999999,1414
50,432769.1,4425526.8,1514
51,422602.9,4422662.499999999,1388
52,434457.4,4430269.4,1416
53,434004.8,4424308.899999999,1570
54,434018.2,4425148.8,1526
55,433835.3,4424615.2,1549
56,434122.7,4424620.4,1557
57,429613.6099999999,4427715.68,1435
58,433125.7,4426491.5,1488
59,432971.6,4426407.2,1491
60,423103.9,4423159.8,1384
61,432354.4,4426532.7,1488
62,432952.3,4425706.2,1510
63,435965.2,4429901.0,1425
64,432762.8,4426608.0,1488
65,433049.3,4426406.300000001,1490
66,434888.3,4432603.699999999,1405
67,422725.8,4422534.1,1391
68,434714.7,4425849.100000001,1518
69,433487.2,4425698.7,1503
70,435014.9,4432613.699999999,1405
71,433362.8,4427601.6,1465
72,432973.1,4426689.699999999,1485
73,432765.9,4425168.6,1523
74,432408.0,4425710.499999999,1507
75,422715.4,4422188.2,1397
76,432591.0,4426345.8,1493
77,433295.3,4424801.500000001,1537
78,431321.1,4426105.6,1488
79,434680.6,4425781.9,1525
